Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HUBS,HubSpot Inc. Common Stock,$397.48,-1.64,-0.411%,19632427953.00,United States,2014,405250,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$123.69,-1.01,-0.81%,111831389839.00,United States,,37399881,Technology,EDP Services
INFY,Infosys Limited American Depositary Shares,$16.89,-0.30,-1.745%,70408914349.00,India,,15611150,Technology,EDP Services
INTC,Intel Corporation Common Stock,$29.81,-0.37,-1.226%,123323970000.00,United States,,80608631,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$413.69,-4.46,-1.067%,116216008042.00,United States,1993,3124279,Technology,Computer Software: Prepackaged Software
JBL,Jabil Inc. Common Stock,$78.96,0.59,0.753%,10523399053.00,United States,1993,3090555,Technology,Electrical Products
JKHY,Jack Henry & Associates Inc. Common Stock,$146.46,-1.65,-1.114%,10690221876.00,United States,1985,1672182,Technology,Retail: Computer Software & Peripheral Equipment
JNPR,Juniper Networks Inc. Common Stock,$31.33,-0.25,-0.792%,10149660189.00,United States,1999,6569200,Technology,Computer peripheral equipment
KLAC,KLA Corporation Common Stock,$387.75,-2.15,-0.551%,53695528491.00,United States,1980,3033503,Technology,Electronic Components
LDOS,Leidos Holdings Inc. Common Stock,$90.46,-2.06,-2.227%,12387381900.00,United States,,2023234,Technology,EDP Services
LRCX,Lam Research Corporation Common Stock,$508.36,-6.83,-1.326%,68596171207.00,United States,1984,1702631,Technology,Industrial Machinery/Components
LSCC,Lattice Semiconductor Corporation Common Stock,$89.46,-3.28,-3.537%,12290231204.00,United States,,2229125,Technology,Semiconductors
MCHP,Microchip Technology Incorporated Common Stock,$80.71,-1.54,-1.872%,44212606847.00,United States,1993,8782230,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$219.77,-1.48,-0.669%,15226931475.00,United States,2017,1673103,Technology,Retail: Computer Software & Peripheral Equipment
META,Meta Platforms Inc. Class A Common Stock,$195.61,-9.32,-4.548%,507146221984.00,United States,2012,50080852,Technology,Internet and Information Services
MPWR,Monolithic Power Systems Inc. Common Stock,$488.31,-9.66,-1.94%,23002819170.00,United States,2004,688876,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$39.97,-0.39,-0.966%,34102404000.00,United States,2000,15182057,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$279.43,3.23,1.169%,2080022021226.00,United States,1986,69493461,Technology,Computer Software: Prepackaged Software
MSI,Motorola Solutions Inc. Common Stock,$264.24,-4.34,-1.616%,44194158761.00,United States,,1475738,Technology,Radio And Television Broadcasting And Communications Equipment
MTCH,Match Group Inc. Common Stock,$36.72,0.10,0.273%,10256120212.00,United States,,4170759,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$56.66,0.09,0.159%,61826063436.00,United States,,26652765,Technology,Semiconductors
NET,Cloudflare Inc. Class A Common Stock,$54.53,-1.00,-1.801%,17999589580.00,United States,2019,6866168,Technology,EDP Services
NICE,NICE Ltd American Depositary Shares,$212.71,1.17,0.553%,13513814294.00,Israel,,244002,Technology,Computer Software: Prepackaged Software
NOC,Northrop Grumman Corporation Common Stock,$443.60,-6.55,-1.455%,67894475376.00,United States,,1599256,Technology,Security Systems Services
NOK,Nokia Corporation Sponsored American Depositary Shares,$4.52,-0.05,-1.094%,25260993084.00,Finland,1994,16918945,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$441.00,-1.39,-0.314%,89523000000.00,United States,2012,2917417,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$61.47,-0.51,-0.823%,13251294255.00,United States,1995,7681429,Technology,Electronic Components
NVDA,NVIDIA Corporation Common Stock,$257.25,1.84,0.72%,632835000000.00,United States,1999,84749935,Technology,Semiconductors
